open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1721466300000,3482.25000000,3485.79000000,3481.47000000,3485.19000000,480.51700000,1721466599999,1673599.22552800,1444,255.14810000,888698.83790400,0
1721466600000,3485.19000000,3487.80000000,3485.18000000,3487.80000000,282.71770000,1721466899999,985588.53163100,987,185.99430000,648401.26050200,0
1721466900000,3487.79000000,3487.80000000,3485.38000000,3486.78000000,165.26800000,1721467199999,576201.25337500,1039,41.59040000,144983.85751100,0
1721467200000,3486.78000000,3486.84000000,3483.80000000,3483.81000000,251.77320000,1721467499999,877516.22092400,923,84.58440000,294789.49516400,0
1721467500000,3483.81000000,3484.98000000,3483.80000000,3484.25000000,505.82550000,1721467799999,1762587.19694800,1947,106.13860000,369821.43746100,0
1721467800000,3484.25000000,3493.46000000,3484.24000000,3493.25000000,648.36530000,1721468099999,2262311.96184200,1893,608.79970000,2124316.22357800,0
1721468100000,3493.25000000,3494.59000000,3491.60000000,3492.59000000,374.05720000,1721468399999,1306598.50444200,1773,193.93520000,677433.36876300,0
1721468400000,3492.60000000,3493.10000000,3490.10000000,3490.10000000,350.58860000,1721468699999,1224231.29678000,1207,92.34180000,322498.19359900,0
1721468700000,3490.10000000,3490.10000000,3486.20000000,3487.01000000,368.23990000,1721468999999,1284515.68828300,2103,100.84010000,351658.84976100,0
1721469000000,3487.01000000,3487.51000000,3484.10000000,3485.94000000,857.14730000,1721469299999,2987709.02998100,3552,418.77580000,1459513.69409600,0
1721469300000,3485.93000000,3485.94000000,3484.40000000,3484.40000000,452.30960000,1721469599999,1576421.33571700,1330,158.61780000,552813.20291800,0
1721469600000,3484.41000000,3485.63000000,3483.40000000,3485.59000000,542.17900000,1721469899999,1889258.73129000,1946,141.52370000,493171.11245800,0
1721469900000,3485.58000000,3490.81000000,3485.31000000,3488.63000000,710.49410000,1721470199999,2479142.08877600,1678,468.50330000,1634636.39326700,0
1721470200000,3488.62000000,3488.63000000,3486.37000000,3486.43000000,130.34470000,1721470499999,454469.61415700,678,70.33520000,245221.08373100,0
