open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1721462400000,3487.39000000,3487.40000000,3487.39000000,3487.40000000,0.01870000,1721462400999,65.21425000,2,0.00570000,19.87818000,0
1721462401000,3487.40000000,3487.40000000,3487.39000000,3487.40000000,2.08860000,1721462401999,7283.76526500,9,0.25110000,875.68614000,0
1721462402000,3487.40000000,3487.40000000,3487.39000000,3487.39000000,0.49830000,1721462402999,1737.77137800,2,0.49410000,1723.12434000,0
1721462403000,3487.39000000,3487.40000000,3487.39000000,3487.40000000,1.10330000,1721462403999,3847.63818600,5,0.07990000,278.64326000,0
1721462404000,3487.40000000,3487.40000000,3487.40000000,3487.40000000,0.11450000,1721462404999,399.30730000,6,0.11450000,399.30730000,0
1721462405000,3487.40000000,3487.40000000,3487.40000000,3487.40000000,2.46200000,1721462405999,8585.97880000,9,2.46200000,8585.97880000,0
1721462406000,3487.40000000,3487.40000000,3487.39000000,3487.40000000,0.83020000,1721462406999,2895.23932500,14,0.81470000,2841.18478000,0
1721462407000,3487.40000000,3487.40000000,3487.40000000,3487.40000000,0.01140000,1721462407999,39.75636000,2,0.01140000,39.75636000,0
1721462408000,3487.39000000,3487.40000000,3487.21000000,3487.21000000,15.62330000,1721462408999,54484.14593100,53,0.00330000,11.50842000,0
1721462409000,3487.21000000,3487.21000000,3487.21000000,3487.21000000,0.02070000,1721462409999,72.18524700,10,0.00000000,0.00000000,0
1721462410000,3487.19000000,3487.19000000,3487.19000000,3487.19000000,5.42500000,1721462410999,18918.00575000,9,0.00000000,0.00000000,0
1721462411000,3487.19000000,3487.19000000,3487.02000000,3487.03000000,9.41570000,1721462411999,32834.06911400,36,0.22710000,791.90451300,0
1721462412000,3487.03000000,3487.03000000,3487.02000000,3487.03000000,1.46130000,1721462412999,5095.58960200,11,0.72760000,2537.16302800,0
1721462413000,3487.03000000,3487.03000000,3487.02000000,3487.03000000,2.86030000,1721462413999,9973.94193000,5,1.86240000,6494.24467200,0
1721462414000,3487.03000000,3487.20000000,3487.03000000,3487.20000000,3.16650000,1721462414999,11041.76417600,107,3.16650000,11041.76417600,0
1721462415000,3487.20000000,3487.39000000,3487.20000000,3487.39000000,11.50280000,1721462415999,40114.62741500,32,0.14670000,511.59139700,0
1721462416000,3487.39000000,3487.39000000,3487.38000000,3487.38000000,0.18900000,1721462416999,659.11524600,5,0.04260000,148.56281400,0
