open_time,open,high,low,close,close_time,log_returns,volatility
2024-07-20 08:00:00,3487.39,3491.03,3482.86,3491.03,2024-07-20 08:09:59.999,,
2024-07-20 08:10:00,3491.03,3493.43,3490.37,3492.55,2024-07-20 08:19:59.999,0.0004353068265852525,
2024-07-20 08:20:00,3492.55,3494.09,3489.16,3489.17,2024-07-20 08:29:59.999,-0.0009682428582243496,
2024-07-20 08:30:00,3489.16,3489.4,3480.5,3487.14,2024-07-20 08:39:59.999,-0.0005819695676640025,
2024-07-20 08:40:00,3487.14,3488.57,3480.55,3482.49,2024-07-20 08:49:59.999,-0.0013343608455401387,
2024-07-20 08:50:00,3482.49,3486.03,3481.45,3485.85,2024-07-20 08:59:59.999,0.0009643617448052724,
2024-07-20 09:00:00,3485.84,3485.84,3481.47,3485.19,2024-07-20 09:09:59.999,-0.00018935481706374398,0.0008654307262159468
2024-07-20 09:10:00,3485.19,3487.8,3485.18,3486.78,2024-07-20 09:19:59.999,0.00045611212542952446,0.0008689001047539902
2024-07-20 09:20:00,3486.78,3486.84,3483.8,3484.25,2024-07-20 09:29:59.999,-0.0007258612030310622,0.0008352382565524881
2024-07-20 09:30:00,3484.25,3494.59,3484.24,3492.59,2024-07-20 09:39:59.999,0.0023907683055544994,0.0013259402031828784
2024-07-20 09:40:00,3492.6,3493.1,3486.2,3487.01,2024-07-20 09:49:59.999,-0.0015989458389684067,0.0013923188983905419
2024-07-20 09:50:00,3487.01,3487.51,3484.1,3484.4,2024-07-20 09:59:59.999,-0.0007487725214680893,0.001383833735050792
2024-07-20 10:00:00,3484.41,3490.81,3483.4,3488.63,2024-07-20 10:09:59.999,0.0012132460404926805,0.0014749730452150167
2024-07-20 10:10:00,3488.62,3488.63,3480.77,3480.93,2024-07-20 10:19:59.999,-0.002209609540016007,0.0017461006819884139
2024-07-20 10:20:00,3480.93,3485.84,3480.93,3484.01,2024-07-20 10:29:59.999,0.0008844297871250611,0.0017871108901945547
2024-07-20 10:30:00,3484.01,3487.73,3483.8,3485.03,2024-07-20 10:39:59.999,0.000292723246611719,0.0013825291714898871
2024-07-20 10:40:00,3485.03,3489.52,3482.34,3486.4,2024-07-20 10:49:59.999,0.00039303271140515183,0.001259545708277295
2024-07-20 10:50:00,3486.41,3489.78,3486.41,3488.93,2024-07-20 10:59:59.999,0.0007254137398361077,0.0012346341431173837
2024-07-20 11:00:00,3488.92,3489.4,3486.23,3487.6,2024-07-20 11:09:59.999,-0.0003812783765315837,0.0011455843688187254
2024-07-20 11:10:00,3487.6,3487.6,3482.2,3482.86,2024-07-20 11:19:59.999,-0.0013600252295024086,0.0008357556172346543
2024-07-20 11:20:00,3482.86,3486.68,3481.25,3486.67,2024-07-20 11:29:59.999,0.0010933306491342366,0.000878603690865689
2024-07-20 11:30:00,3486.68,3491.9,3486.47,3488.89,2024-07-20 11:39:59.999,0.0006365080581203185,0.000902443500164347
2024-07-20 11:40:00,3488.9,3490.76,3486.62,3488.01,2024-07-20 11:49:59.999,-0.0002522610341746123,0.0009110313964385588
2024-07-20 11:50:00,3488.0,3488.01,3483.61,3484.81,2024-07-20 11:59:59.999,-0.0009178496575712497,0.000924007906055029
2024-07-20 12:00:00,3484.81,3490.0,3484.43,3489.68,2024-07-20 12:09:59.999,0.001396518108558986,0.0011177909404611493
2024-07-20 12:10:00,3489.67,3491.0,3486.4,3489.8,2024-07-20 12:19:59.999,3.438651590431692e-05,0.0008715052398133303
2024-07-20 12:20:00,3489.81,3489.81,3486.6,3488.46,2024-07-20 12:29:59.999,-0.00038404989681391195,0.0008205194812922611
2024-07-20 12:30:00,3488.47,3495.99,3487.0,3493.6,2024-07-20 12:39:59.999,0.001472345104035545,0.0009868620025764157
2024-07-20 12:40:00,3493.6,3496.62,3492.55,3495.41,2024-07-20 12:49:59.999,0.0005179560597181504,0.0009621735474302009
2024-07-20 12:50:00,3495.42,3495.57,3491.68,3492.11,2024-07-20 12:59:59.999,-0.0009445411949714015,0.0009692612505895951
2024-07-20 13:00:00,3492.11,3495.05,3489.5,3489.51,2024-07-20 13:09:59.999,-0.0007448128429204403,0.000897915812900956
2024-07-20 13:10:00,3489.5,3490.75,3481.2,3490.52,2024-07-20 13:19:59.999,0.0002893970389951736,0.0009063260899997084
2024-07-20 13:20:00,3490.52,3494.96,3490.25,3494.28,2024-07-20 13:29:59.999,0.0010766236293639493,0.0009656833476327258
2024-07-20 13:30:00,3494.28,3498.2,3484.1,3485.65,2024-07-20 13:39:59.999,-0.002472805428574763,0.0012812337071171876
2024-07-20 13:40:00,3485.75,3486.25,3483.69,3486.23,2024-07-20 13:49:59.999,0.00016638266904716995,0.0012393240353155617
2024-07-20 13:50:00,3486.23,3491.6,3485.12,3490.68,2024-07-20 13:59:59.999,0.0012756365220242245,0.0013812570067631709
2024-07-20 14:00:00,3490.69,3494.0,3488.81,3490.66,2024-07-20 14:09:59.999,-5.7295590817572494e-06,0.001341231132433749
2024-07-20 14:10:00,3490.66,3492.95,3489.49,3492.95,2024-07-20 14:19:59.999,0.0006558212964578115,0.0013622211052314382
2024-07-20 14:20:00,3492.94,3496.25,3492.94,3495.77,2024-07-20 14:29:59.999,0.0008070147761103914,0.0013282179165919879
2024-07-20 14:30:00,3495.77,3503.91,3493.54,3502.85,2024-07-20 14:39:59.999,0.0020232567035229237,0.0007472079458352476
